adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating cost,sold_price
"Hallonvägen 33, Mariefred, Strängnäs",59.26580161808483,17.28240554551086,112.0,2782.0,14.0,1,0,4.0,1967,65 795,3 750 000
"Barnhemsvägen 38, Hässelby Norra Villastad, Stockholms",59.3861103045649,17.8052795744548,120.0,323.0,20.0,0,0,5.0,1974,42 948,4 440 000
"Västra Pilgatan 7, Vellinge, Vellinge",55.47283,13.0370474,83.0,310.0,14.0,0,0,3.0,1992,42 899,3 750 000
"Lännavägen 49, Hörningsnäs, Huddinge",59.230648,17.99937,122.0,1184.0,133.0,0,0,9.0,1951,50 850,7 000 000
"Stockholmsvägen 167, Bålsta - Fånäs, Håbo",59.5536903435,17.5490937485,151.0,1539.0,75.0,0,0,7.0,1977,43 621,5 040 000
"Solbergsvägen 13, Nedre Svenneby, Torsby",60.1223920493,13.0217691815,147.0,894.0,None,1,0,5.0,2022,31 700,2 950 000
"Krassevägen 3, Kungsbacka, Kungsbacka",57.4813148384,12.1005799134,167.0,1320.0,77.0,0,0,7.0,1969,10 899,5 500 000
"Pråmgatan 7C, Älvsborg, Göteborgs",57.6778374,11.8780241,175.0,951.8,66.0,0,0,6.0,1985,66 016,9 800 000
"Norgegatan 3, Tyringe, Hässleholms",56.1646685372,13.5990891868,164.0,920.0,False,1,0,6.0,2006,48 449,2 500 000
"Eriksdalsvägen 15, Olsfors, Bollebygds",57.6908668927,12.6950958782,89.0,958.0,120.0,0,0,5.0,1965,44 180,1 800 000
"Sve-Johans Hålsjö 841, Hudiksvall, Hudiksvalls",61.8358905181,16.7632522877,92.0,5035.0,87.0,0,0,3.0,1890,37 622,1 610 000
"Berneby 8, Resö, Tanums",58.7999440933,11.1733851124,70.0,1070.0,2.0,0,0,4.0,1934,24 996,3 250 000
"Ståhls väg 10, Ytterharnäs, Gävle",60.6518628369,17.359570108,138.0,1110.0,24.0,0,0,5.0,1909,37 014,2 700 000
"Skorstensvägen 182, Lindsdal, Kalmar",56.7317735189,16.3018635346,155.0,612.0,False,0,0,6.0,1975,39 102,2 590 000
"Irsta kyrkby 7, Irsta, Västerås",59.59839,16.7031326,754.0,9513.0,170.0,0,0,8.0,2001,127 971,14 000 000
"Nyhemsvägen 27, Bräkne-hoby, Ronneby",56.2353656325,15.1140811282,90.0,1469.0,90.0,0,0,3.0,1964,27 270,800 000
"Solhagavägen 109, Spånga - Nälsta, Stockholms",59.3714702998,17.8877961318,117.0,196.0,False,1,1,5.0,1969,38 400,4 275 000
"Kungsbrovägen 30B, Ljungsbro, Linköpings",58.503537623770086,15.515889791939088,158.0,1251.0,110.0,1,1,6.0,1939,36 377,2 550 000
"Bärstavägen 42, Lövnäs, Hammarö",59.33543953779348,13.5384894668609,135.0,2109.0,44.0,0,0,5.0,1930,None,4 000 000
"Kungsbäcksvägen 17, Villastaden, Gävle",60.67174119713001,17.130326044392053,256.0,1248.0,216.0,1,1,8.0,1916,69 500,11 700 000
"Torphagsvägen 38, Bankeryd, Jönköpings",57.84125550468982,14.13586069435081,165.0,591.0,7.0,0,0,6.0,2018,30 112,5 300 000
"Flisvägen 3, Born, Orsa",61.13512676236521,14.6375650775465,160.0,1603.0,80.0,0,0,6.0,1948,17 350,1 250 000
"Åströms väg 20, Hosjö, Falu",60.5920306255,15.7443707635,160.0,1262.0,False,0,0,5.0,1929,69 918,2 800 000
"Kimmersbo Söderväg 4, Lindome, Mölndals",57.55896877877849,12.005551332764252,143.0,1655.0,58.0,1,1,7.0,1975,23 822,5 800 000
"Gulli Petrinis väg 9, Växjö, Växjö",56.835845694392795,14.805113647116475,190.0,989.0,None,1,0,6.0,2016,43 472,5 000 000
"Rösgatan 25, Centralt, Åmåls",59.05594520248117,12.695842658230427,127.0,773.0,56.0,1,0,6.0,1922,29 432,1 200 000
"Vetevägen 96, Hovsta, Örebro",59.34169059528256,15.234752658781755,125.0,302.0,None,1,0,5.0,1979,50 650,2 895 000
"Buskbovägen 25, Danholn, Falu",60.62229843214154,15.80408350629042,124.0,900.0,None,1,0,5.0,1991,48 920,2 925 000
"Margretedalsvägen 8, None, Härryda",57.69036620000001,12.2741791,60.0,1057.0,20.0,0,0,3.0,1955,5 600,1 900 000
"Fjärdingsmannavägen 14, Vingåker, Vingåkers",59.05973822415137,15.87152745648214,120.0,1134.0,55.0,1,1,4.0,1950,30 834,825 000
"Possebergsvägen 12, Posseberg, Kristinehamns",59.23875926123636,14.081548951014597,80.0,2560.0,None,0,0,6.0,1942,24 163,4 000 000
"Ängserydsgatan 36, Mossen, Motala",58.53530035385623,15.02023546609308,126.0,911.0,102.0,1,1,4.0,1947,46 238,2 450 000
"Morrarö 8, Strängnäs, Strängnäs",59.43934635963224,17.047135787699776,136.0,2072.0,None,1,0,5.0,1979,42 349,1 800 000
"Videvägen 18, Ersholen, Gagnefs",60.492328494086024,14.957478912800843,150.0,2776.0,15.0,0,0,6.0,1922,25 635,1 995 000
"Riddarbacken 3, Kävlinge, Kävlinge",55.79593,13.090332,121.0,806.0,None,0,0,5.0,1997,45 164,4 200 000
"Trallbanevägen 20, Landvetter, Härryda",57.69747,12.2015295,124.0,382.0,8.0,0,0,5.0,2004,34 205,6 300 000
"Estlandsgatan 128, Enskedefältet - Enskede, Stockholms",59.285056827444194,18.0637731944772,88.0,443.0,56.0,0,0,4.0,1931,42 000,6 000 000
"Adler Salvius väg 109, Tullinge, Botkyrka",59.21602259261904,17.891617991325443,117.0,628.0,47.0,1,0,5.0,1977,50 500,4 200 000
"Källström 29, Knivsta, Knivsta",59.72259,17.96368,187.0,21444.0,98.0,0,0,6.0,None,61 260,7 200 000
"Lidgatan 11, Mösseberg, Falköpings",58.1804785824137,13.5463751651195,116.0,587.0,18.0,0,0,5.0,1909,34 775,2 575 000
"Andgränd 16, Svaneholm, Borås",57.604382139472,12.792331837963,147.0,1151.0,None,0,0,5.0,1980,47 180,720 000
"Nygatan 18, Vinslöv, Hässleholms",56.09802,13.914834,94.0,1383.0,81.0,0,0,4.0,1930,46 197,1 750 000
"Vårflodsgatan 15, Centrala Hisingen - Kyrkbyn, Göteborgs",57.709362,11.9031315,114.0,650.0,66.0,0,0,6.0,1928,31 371,5 730 000
"Kullaviksvägen 10, Kullavik, Kungsbacka",57.5476456,11.9621048,119.0,1376.0,174.0,0,0,7.0,1880,47 766,8 000 000
"Öjersjövägen 8C, Öjersjö, Partille",57.7056122,12.147542,164.0,851.0,28.0,0,0,8.0,1990,34 740,6 700 000
"Tullebo ekväg 5, Bollebygd, Bollebygds",57.7108470524502,12.4845912540622,105.0,2315.0,60.0,0,0,5.0,1924,49 201,3 360 000
"Färjevägen 11, None, Ånge",62.5162926,15.66351,138.0,1382.0,82.0,0,0,6.0,1951,47 268,1 850 000
"Furulundsgatan 24, None, Gotlands",57.6225166,18.30281,136.0,1042.0,86.0,0,0,6.0,1945,46 458,3 925 000
"Oxdrivarvägen 8, Tvärskog, Kalmar",56.6250343,16.0365753,143.0,845.0,None,0,0,4.0,2022,35 500,2 590 000
"Egernahults stugområde 20, None, Laholms",56.6000023,13.3616285,50.0,1603.0,18.0,0,0,3.0,1976,17 464,750 000
"Nytorpsvägen 5, Älvängen, Ale",57.9544404069,12.1266513309,110.0,1481.0,65.0,0,0,8.0,1948,45 763,4 450 000
"Bräknevägen 55A, Bräkne-hoby, Ronneby",56.2351663499,15.1158263229,100.0,1002.0,95.0,0,0,5.0,1968,35 736,900 000
"Ljungstigen 7, None, Tingsryds",56.5266075,14.990612,145.0,1120.0,None,0,0,4.0,1986,36 058,2 000 000
"Svenningstorp 1, Töreboda Landsbygd, Töreboda",58.7422353004,14.1229364988,71.0,1591.0,69.0,0,0,3.0,1950,45 800,500 000
"Bergsåsarna 4, None, Forshaga",59.5842910978,13.5412921106,84.0,30480.0,False,0,0,3.0,1938,7 954,1 400 000
"Toretorpsvägen 1, Gästrike Hammarby, Sandvikens",60.5425283238,16.5608910479,145.0,9350.0,28.0,0,0,5.0,1918,49 850,2 995 000
"Stenåldersvägen 3, Odensala, Östersunds",63.1512340897,14.6865640056,132.0,660.0,76.0,1,1,7.0,1970,38 139,4 375 000
"Sveagatan 8, Skutskär, Älvkarleby",60.621962254,17.4130891963,121.0,1146.0,33.0,1,0,4.0,2007,52 620,2 260 000
"Vaseliden 37, Landvetter, Härryda",57.7037609035,12.2133649378,176.0,1959.0,60.0,0,0,7.0,1936,50 032,6 500 000
"Solviksvägen 6, Solvik, Arvika",59.6491932305,12.6314089659,80.0,1628.0,55.0,1,0,4.0,None,35 011,1 500 000
"Stora Strömsborg - Vällebergsvägen 7, Ljungskile, Uddevalla",58.2226817404,11.9198409085,None,480.0,None,0,0,None,1929,None,4 000 000
"Stenvägen 19, None, Smedjebackens",60.1510353,15.4096136,136.0,674.0,50.0,0,0,6.0,1973,52 007,1 300 000
"Bygattu 66, Sifferbo, Gagnefs",60.5643173124,15.2156699009,73.0,2876.0,70.0,1,0,3.0,1961,36 299,1 250 000
"Vidhemsgatan 25, Vedum med omnejd, Vara",58.1683247753,12.990602744,123.0,1089.0,81.0,0,0,5.0,1948,41 087,1 925 000
"Boda Annelund 1, Boda, Eda",59.7230632597,12.1878087257,61.0,3070.0,40.0,0,0,4.0,1939,33 460,650 000
"Bondemölla 4746, None, Hörby",55.91203712969251,13.607875240497266,129.0,1932.0,None,0,0,5.0,2019,24 194,3 815 000
"Pelle Kroks väg 8, Halmstad, Halmstads",56.65723379216556,12.794664362805912,108.0,807.0,90.0,1,0,4.0,1964,9 195,4 350 000
"Vintervägen 26, Kallkälldalen, Hagfors",60.0459713892,13.6924378938,83.0,1138.0,83.0,1,0,3.0,1968,37 922,850 000
"Munka Tågarps Gård, Ystad, Tomelilla",55.490814359210155,13.981514653977628,400.0,143700.0,200.0,0,0,11.0,1800,None,30 000 000
"Storängsvägen 20, Björbo, Gagnefs",60.45608012435816,14.712814764100646,125.0,1530.0,58.0,1,0,4.0,1949,28 441,1 050 000
"Lindvägen 3, None, Hammarö",59.3444992796,13.4591648711,91.0,1123.0,67.0,0,0,4.0,1940,None,2 650 000
"Kokstensvägen 109, Gävle, Gävle",60.66130244583704,17.206149226871783,120.0,130.0,16.0,0,0,None,1980,58 683,2 350 000
"Gläntans Bigårdar, Västerlyckevägen 30, None, Kristianstads",56.05921975585794,13.988603028818702,None,1663.0,None,0,0,None,None,None,1 700 000
"Lillåvägen 7, Kåge, Skellefteå",64.84138397107122,20.9827137051754,144.0,1070.0,47.0,1,1,6.0,1972,38 803,2 700 000
"Glarhallavägen 5A, Arild, Höganäs",56.2714897873784,12.57676599360097,134.0,538.0,None,0,0,None,1988,None,4 425 000
"Älgsjön 26, Älgsjön, Smedjebackens",60.0570948469,15.6998995135,68.0,2489.0,4.0,0,0,3.0,1983,21 342,1 600 000
"Ringvägen 13B, Laggarhult, Katrineholms",58.98897789954308,16.239491465785708,98.0,398.0,45.0,0,0,5.0,1972,56 578,2 500 000
"Bratteröd 342, None, Uddevalla",58.3193675678,11.9510864834,None,1381.0,None,0,0,None,None,None,3 900 000
"Lerdalavägen 5, Dälderna, Skövde",58.41121026544168,13.83181979542142,260.0,1065.0,10.0,0,0,7.0,1993,44 632,5 600 000
"Lenhovda-Nöbbele Lundabo, Lenhovda, Uppvidinge",56.996245675276825,15.272817052403159,190.0,3144.0,93.0,0,0,8.0,1939,None,1 125 000
"Ärnevi 91, Gunsta, Uppsala",59.851980214980124,17.824992165157138,116.0,1280.0,70.0,1,0,5.0,1937,31 808,3 510 000
"Tallstigen 14, Moholm, Töreboda",58.60738369502606,14.031273599210893,109.0,1258.0,106.0,0,0,6.0,1969,40 318,850 000
"Edanövägen 3, Öbolandet, Trosa",58.88576773967809,17.559791713111142,39.0,2492.0,None,0,0,3.0,1964,16 679,2 900 000
"Bangårdsgatan 5, Visby, Gotlands",57.63181532853473,18.292517769389235,213.0,805.0,87.0,1,1,6.0,1904,16 242,10 500 000
"Hemvägen 6, Odensala, Östersunds",63.15857987822352,14.685577548778486,108.0,996.0,129.0,0,0,6.0,1981,53 600,3 300 000
"Gröntuv 164, Gröntuv, Gagnefs",60.589898387034026,15.095845874258552,110.0,2189.0,102.0,0,0,5.0,1988,39 257,2 510 000
"Verktygsgatan 81, Malung, Malung-Sälens",60.687124816,13.7234192291,120.0,1039.0,100.0,0,0,4.0,1959,52 008,1 100 000
"Bågspännarvägen 32, Seestaden, Sandvikens",60.60790115224077,16.755805333159536,153.0,905.0,60.0,0,0,7.0,None,None,1 550 000
"Mörtvägen 14, Bålsta Hagviken, Håbo",59.5365524,17.4989071,104.0,283.0,10.0,0,0,4.0,1983,23 069,3 500 000
"Näs Eningen 3, Seglora, Borås",57.6782048817325,12.7473490180046,44.0,2855.0,7.0,0,0,2.0,1953,9 990,1 130 000
"Bodarnevägen 22, None, Hudiksvalls",61.65025045379592,17.105241313741107,107.0,1161.0,83.0,0,0,5.0,1962,26 900,1 500 000
"Murmästaregatan 6, Utby, Göteborgs",57.7412224,12.0726376,82.0,452.3,55.0,0,0,4.0,1949,None,5 100 000
"Centrumvägen 13, Åsarp, Falköpings",58.0246401726181,13.5607696365947,148.0,867.0,None,0,0,7.0,1934,43 976,1 000 000
"Stamnared 212, Stamnared, Varbergs",57.2101,12.3968048,60.0,1309.0,33.0,0,0,5.0,1910,25 065,800 000
"Kryssvägen 1, Norra Kopparmora, Värmdö",59.3395042,18.577776,102.0,1994.0,35.0,0,0,4.0,1965,46 366,5 000 000
"Annetorpsvägen 76, Elinegård, Malmö",55.569603,12.9488878,165.0,190.0,None,0,0,8.0,2022,26 000,6 950 000
"Sönnervång 1311, Södra Sandby, Lunds",55.70315,13.3448076,89.0,530.0,24.0,0,0,5.0,1920,32 809,3 200 000
"Karlskronavägen 43, Vassmolösa, Kalmar",56.5972328,16.16443,110.0,1115.0,110.0,0,0,6.0,1947,37 500,2 060 000
"Barkåkravägen 51, Barkåkra, Ängelholms",56.28326,12.8421688,242.0,1500.0,154.0,0,0,7.0,1942,67 736,4 000 000
"Aprilvägen 12, None, Järfälla",59.4248324963224,17.8137026291021,124.0,718.0,91.0,0,0,6.0,1968,48 592,6 550 000
"Sävgatan 8, Färjestaden, Mörbylånga",56.66329,16.4861221,93.0,955.0,7.0,0,0,3.0,2008,35 500,3 175 000
"Järnåldersvägen 6, Kristianstad - Vä, Kristianstads",56.0054321,14.089735,123.0,904.0,28.0,0,0,5.0,1970,36 083,3 000 000
"Solvägen 6, Matfors, Sundsvalls",62.3454,17.04708,72.0,1335.0,72.0,0,0,3.0,1957,34 729,1 525 000
"Södra Kungsvägen 43, None, Tidaholms",58.1727719754643,13.961559199164993,106.0,1226.0,6.0,1,0,4.0,1968,37 000,1 250 000
"Ryttmästarvägen 105, Nälsta, Stockholms",59.3753548,17.86823,158.0,604.0,77.0,0,0,7.0,1972,35 948,7 700 000
"Krusenberg 78, Knivsta, Knivsta",59.7438431,17.65979,50.0,3211.0,None,0,0,None,None,None,3 300 000
"Gjuterivägen 40, Strandskogen, Mörbylånga",56.6921539,16.5155773,155.0,7837.0,None,0,0,7.0,1980,38 850,4 000 000
"Södra Möinge 7150, Billeberga, Svalövs",55.8682632,12.98888,200.0,6400.0,20.0,0,0,6.0,1912,63 890,3 200 000
"Regnbågsvägen 6, None, Älmhults",56.66428,14.26281,120.0,1219.0,65.0,0,0,4.0,1957,31 500,950 000
"Skogslyckevägen 54, Skogslyckan, Växjö",56.89971,14.8142786,95.0,721.0,53.0,0,0,5.0,1966,36 700,2 700 000
"Förrådsgatan 6, None, Filipstads",59.69621591384565,14.164891160588967,None,1401.0,None,0,0,None,1964,18 900,1 075 000
"Barnhemsgatan 4, Söder/Vallbacken, Gävle",60.6650238,17.1390686,185.0,783.0,95.0,0,0,6.0,1943,66 280,4 900 000
"Seglaregatan 7, Skillinge, Simrishamns",55.47109,14.278368,116.0,703.0,72.0,0,0,5.0,1981,40 181,2 650 000
"Knivetorpsvägen 3, Lexby, Partille",57.7425461,12.1073217,211.0,1284.0,27.0,0,0,8.0,1901,59 852,6 250 000
"Långdansen 10, Toltorp, Mölndals",57.6684875,11.9821672,122.0,294.0,None,0,0,None,1962,35 944,5 970 000
"Mistelgatan 14, Bårslöv, Helsingborgs",56.0071,12.8001146,206.0,543.0,10.0,0,0,8.0,1977,32 050,3 500 000
"Fibervägen 5, Läckeby, Kalmar",56.782608,16.290123,175.0,1005.0,None,0,0,6.0,2021,36 700,4 295 000
"Galtövägen 17, Hov, Växjö",56.8960457,14.80703,114.0,348.0,None,0,0,5.0,2001,46 554,3 600 000
"Lilleby skolväg 2, Torslanda - Lilleby, Göteborgs",57.73859,11.7964325,195.0,911.1,None,0,0,6.0,2011,45 723,8 470 000
"Hasselvägen 14, Lyckeby, Karlskrona",56.1945799337,15.6672682767,116.0,1007.0,116.0,1,0,6.0,1966,62 080,2 275 000
"Första Västralundsgatan 9, Västralund, Västerviks",57.7579699012,16.6180497578,113.0,677.0,50.0,1,1,5.0,1924,39 714,2 275 000
"Torstuna 19, Torstuna, Enköpings",59.7809512839,17.0845516646,70.0,2300.0,False,1,0,3.0,1939,8 576,1 710 000
"Hagafors Granbacken 1, Hok, Vaggeryds",57.471136239,14.3518132734,74.0,3050.0,35.0,0,0,3.0,1934,57 200,1 200 000
"Vitsordsvägen 3, Furulund, Partille",57.733963,12.1319561,146.0,534.5,26.0,0,0,6.0,1987,44 387,6 400 000
"Vasavägen 11, Lindholmen, Vallentuna",59.5850641252,18.1109482444,181.0,1051.0,58.0,1,1,9.0,1982,54 400,5 500 000
"Gläntan 3, Långshyttan, Hedemora",60.4475259259,16.0224548071,106.0,931.0,False,0,0,4.0,1975,43 802,900 000
"Bärby korsväg 20, Säve, Göteborgs",57.7982005476,11.9202416576,85.0,1349.0,14.0,0,0,3.0,1913,47 600,3 240 000
"Fruktgången 14, Krikonbacken, Nyköpings",58.7755,16.977135,99.0,395.0,False,1,0,5.0,1974,38 500,2 300 000
"Källhagsvägen 4, None, Hedemora",60.29997,15.8323393,96.0,1591.0,70.0,0,0,None,1934,None,1 450 000
"Ölandsgatan 1, Karlshagen, Degerfors",59.2501646892,14.4341469882,103.0,764.0,103.0,1,0,4.0,1968,35 978,655 000
"Sparregatan 29, Ängö, Kalmar",56.6719475,16.3712845,102.0,726.0,56.0,0,0,5.0,1954,28 400,4 400 000
"Nygårdsvägen 4, Götene Tätort, Götene",58.5244597597,13.4610336079,50.0,1190.0,41.0,0,0,2.0,1943,32 599,500 000
"Esbiörn Schillersgatan 12, Hulelyckan, Mölndals",57.6516762,12.0304527,162.0,895.0,None,0,0,5.0,1900,44 632,4 340 000
"Tallvägen 9, Burhagen, Säters",60.35437,15.7276859,129.0,963.0,None,0,0,6.0,1975,None,1 900 000
"Smedjegårdsängen 1, Torslanda - Björlanda, Göteborgs",57.7586555,11.8621521,92.0,3196.0,116.0,0,0,4.0,1959,41 730,4 050 000
"Sandtorpsvägen 9, Järna, Södertälje",59.0914536,17.5697441,154.0,1107.0,88.0,0,0,5.0,1947,34 200,5 200 000
"Krokslycke 260, Spekeröd, Stenungsunds",58.0106862323,11.8634155208,65.0,1011.0,False,1,0,3.0,1973,28 457,3 000 000
"Mjövikstrandsvägen 9, Nättraby, Karlskrona",56.1833845142,15.5289305323,150.0,1430.0,30.0,1,0,6.0,2018,29 995,5 200 000
"Furuvägen 10, None, Norrköpings",58.6578112341,16.1564754814,100.0,1090.0,58.0,0,0,4.0,1947,32 856,2 875 000
"Färnebo Hedbo 212, Västerfärnebo, Sala",59.9643536342,16.3603460038,47.0,1940.0,False,0,0,2.0,1940,12 956,870 000
"Balders gata 11, Centralt, Hörby",55.8599056293,13.6521486646,169.0,911.0,False,0,0,6.0,1978,27 428,2 005 000
"Hyssna Söderbacka Sjöglimten, None, Marks",57.5338566688,12.5638678311,181.0,1513.0,None,0,0,7.0,None,None,3 585 000
"Kvarngatan 16, Glimåkra, Östra Göinge",56.3077621,14.1464338,85.0,1340.0,88.0,0,0,5.0,1934,55 542,450 000
"De la Gardievägen 48, Lidköping, Lidköpings",58.505759716943345,13.140212873461254,77.0,598.0,50.0,0,0,6.0,1936,32 341,2 300 000
"Västra Säbygatan 14, None, Kungsörs",59.4222529455,16.1443571143,111.0,1730.0,47.0,0,0,3.0,1948,35 807,1 800 000
"Författarvägen 2, Boken, Nybro",56.74899413295201,15.93371956866401,170.0,8251.0,40.0,0,0,5.0,1920,45 620,2 225 000
"Vinkelgatan 7, Centrum, Pajala",67.22317089321827,23.33851195454296,80.0,1110.0,30.0,0,0,4.0,1961,38 173,330 000
"Fortvägen 5, Gribbylund, Täby",59.463856541977506,18.083620493937314,170.0,809.0,37.0,1,1,6.0,1995,29 859,9 900 000
"Nämndemansvägen 13, Samuelsdal, Falu",60.58821958273475,15.623315226669103,114.0,1140.0,81.0,0,0,4.0,1964,36 330,3 100 000
"Thulegatan 18, Flen, Flens",59.060392488129274,16.58319257301906,248.0,1256.0,None,0,0,8.0,1904,58 400,2 650 000
"Herrgårdsvägen 4, Karlskrona, Karlskrona",56.18052084086584,15.617723348568525,165.0,810.0,42.0,0,0,7.0,1922,44 615,4 650 000
"Ringvägen 34, Saltsjöbaden - Rösunda, Nacka",59.2831985418744,18.303318796858054,209.0,2945.0,23.0,1,1,7.0,1890,69 041,17 000 000
"Lasarettsgatan 31, Lasarettsområdet, Motala",58.5435923611,15.0312860976,96.0,794.0,52.0,0,0,4.0,1934,34 600,1 800 000
"Medborgarvägen 14, Tillberga, Västerås",59.68357315332728,16.61912471286189,94.0,742.0,94.0,1,0,6.0,1964,54 750,1 950 000
"Sursta 26, Vallentuna, Vallentuna",59.543036967911235,18.023048377651627,95.0,2400.0,None,1,0,4.0,1967,None,4 600 000
"Råhagen 114, Hallekullen, Stenungsunds",58.02676705214903,11.935775933311742,140.0,1943.0,83.0,0,0,7.0,1969,45 875,2 600 000
"Skogsvägen 20, Risögrund, Kalix",65.8126975284,23.2434547366,104.0,1065.0,75.0,1,0,5.0,1977,25 601,330 000
"Allhelgonavägen 27, Centralt Öster, Nyköpings",58.75096644699455,17.021531913300212,219.0,1249.0,117.0,0,0,8.0,1914,54 926,8 000 000
"Örjavägen 11, Strövelstorp, Ängelholms",56.16076,12.837412,178.0,862.0,112.0,0,0,6.0,1970,45 565,3 700 000
"Fötene Samuelsgården 1, Vårgårda, Vårgårda",58.08668206944541,12.821639823612978,125.0,4182.0,None,0,0,6.0,1909,None,510 000
"Bunkeflovägen 28, Bunkeflostrand, Malmö",55.55932411072929,12.928544132409339,158.0,392.0,None,0,0,6.0,2008,48 200,6 800 000
"Alkvettervägen 6, Karlskoga, Storfors",59.43820092665967,14.393074342258382,117.0,1131.0,None,0,0,4.0,1975,45 751,875 000
"Hansesgatan 8, Forssa, Borlänge",60.495831357912955,15.427666799940384,114.0,592.0,None,1,1,4.0,1991,42 431,2 450 000
"Skepparvägen 13, Ransta, Sala",59.809952463174646,16.636642001664914,140.0,891.0,51.0,1,0,6.0,1930,33 954,2 350 000
"Växbo 2802, None, Bollnäs",61.401206414,16.5109429519,116.0,25440.0,52.0,0,0,4.0,1909,28 335,1 700 000
"Tempusvägen 3, Ensta, Täby",59.45181,18.066061,169.0,867.0,148.0,0,0,8.0,1968,50 500,8 910 000
"Lillstugevägen 15, None, Örebro",59.2489128,15.279192,135.0,1334.0,None,0,0,4.0,1954,43 400,3 700 000
"Svarvarevägen 9, Centralt, Nykvarns",59.177803,17.4197865,167.0,1050.0,55.0,0,0,9.0,1978,35 100,4 400 000
"Dagsås 7, Dagsås, Varbergs",57.0627251,12.4881124,94.0,4395.0,6.0,0,0,4.0,None,44 659,2 325 000
"Skogvaktarvägen 4, Götaslätten, Lilla Edets",58.1244278,12.1397467,121.0,928.0,None,0,0,5.0,1981,46 051,2 000 000
"Soldatvägen 27, None, Skellefteå",64.69154,21.2205257,139.0,610.0,26.0,0,0,6.0,1973,38 944,2 000 000
"Örtugsvägen 19, Kungsängen, Upplands-Bro",59.4841423,17.74344,116.0,658.0,4.0,0,0,4.0,1982,22 000,4 400 000
