adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating cost,sold_price
"Fridavägen 18, Hallstavik, Norrtälje",60.046097,18.607172,140.0,None,None,0,0,6.0,None,33 448,1 210 000
"Skute 130, Fåker, Östersunds",63.0037138077,14.6472489393,120.0,4467.0,1.0,1,0,5.0,1937,7 579,800 000
"Orrgången 6, Sommarbyarna, Sjöbo",55.6331056075,13.6668479526,70.0,866.0,False,1,0,3.0,1960,32 891,1 550 000
"Centralvägen 18, Dösjebro, Kävlinge",55.8212967,13.0301657,232.0,750.0,58.0,0,0,6.0,1979,44 214,4 550 000
"Söderby torgs allé 58, Söderby, Salems",59.2068840825,17.7871178979,171.0,733.0,False,0,0,7.0,2007,41 500,6 350 000
"Klövervägen 17, Centrala Vårgårda, Vårgårda",58.0242243096,12.817305835,106.0,700.0,False,0,0,4.0,1975,None,2 260 000
"Kvarnabergsvägen 46, None, Lindesbergs",59.6465569395,15.2218602575,122.0,4370.0,63.0,0,0,4.0,1936,45 400,1 000 000
"Sjöbackavägen 4, Berga, Högsby",57.2127480595,16.0332098973,84.0,2265.0,47.0,0,0,3.0,1931,None,670 000
"Gotenhofsgatan 10, Visby Hällarna, Gotlands",57.63016537810645,18.283937705173628,112.0,1120.0,58.0,1,1,5.0,1937,48 244,6 500 000
"Terminalvägen 8, Björbo, Gagnefs",60.45275106463591,14.728354901762216,64.0,1073.0,12.0,0,0,2.0,1909,22 900,750 000
"Ringvägen 2B, Hanviken, Tyresö",59.2391432287001,18.19771597542513,135.0,1115.0,5.0,0,0,5.0,1970,48 267,5 325 000
"Stationsgatan 4, Ingatorp, Eksjö",57.6349358511,15.416604611,120.0,2778.0,120.0,1,1,6.0,1919,38 146,625 000
"Måns Vidéns väg 9, None, Växjö",57.060524400129566,15.061003257875997,104.0,1060.0,104.0,1,0,4.0,1968,37 677,835 000
"Andalen 99, Andalen, Göteborgs",57.699428860407686,11.749110669838778,130.0,2545.4,20.0,0,0,5.0,1996,43 944,7 050 000
"Åkergränd 2, Bohus, Ale",57.841663213696464,12.018522609034669,110.0,927.0,50.0,0,0,5.0,1957,39 370,4 750 000
"Parkgatan 30, Centralt, Habo",57.90571663055534,14.084758860371537,125.0,1084.0,125.0,0,0,7.0,1957,36 919,3 500 000
"Pumpvägen 25, Kärleken, Halmstads",56.69833163758532,12.849257415695394,178.0,1005.0,50.0,1,1,6.0,1980,36 700,4 050 000
"Egnahemsvägen 4, Sandared, Borås",57.71508950185183,12.794247663496575,81.0,1038.0,81.0,0,0,5.0,1955,21 300,2 550 000
"Måns Vidéns väg 13, Braås, Växjö",57.06041506750439,15.062290807956353,106.0,1136.0,106.0,1,0,5.0,1967,None,1 450 000
"Gökvägen 9, Lyckorna, Kävlinge",55.75115753020113,12.995158558589038,100.0,1193.0,11.0,1,0,4.0,1964,21 267,3 600 000
"Bogerud 49, Östra Ämtervik, Sunne",59.7552714484,13.3333639962,100.0,76813.0,5.0,0,0,3.0,1919,26 400,2 450 000
"Bergvägen 7, Skaulo, Gällivare",67.41462738750738,21.117258451310015,117.0,917.0,43.0,0,0,6.0,1974,48 829,1 160 000
"Västerlidsvägen 30, Överum, Västerviks",57.985930344473005,16.299365349023077,94.0,914.0,94.0,1,0,4.0,1968,48 158,605 000
"Byringevägen 47, Hållsta, Eskilstuna",59.29948809396117,16.45949750985762,116.0,1206.0,116.0,0,0,5.0,1968,48 457,2 390 000
"Blåbärsstigen 1, Gällstad, Ulricehamns",57.6999461631372,13.498014501297343,198.0,1549.0,93.0,1,1,6.0,1974,50 619,1 280 000
"Krokanvägen 18, Sköndal, Stockholms",59.2541666695,18.1031641928,70.0,499.0,70.0,0,0,4.0,1950,46 997,6 125 000
"Trädgårdsvägen 4, Saltvik, Vansbro",60.51802262049011,14.230234059049717,230.0,1080.0,112.0,0,0,7.0,1940,26 400,2 400 000
"Barrgatan 27, Mullsjö, Mullsjö",57.92940022750287,13.879806187053257,170.0,901.0,None,0,0,6.0,1982,None,2 300 000
"Bergsjöholmsvägen 25, Norsesund, Alingsås",57.87349018332431,12.463703897445791,199.0,2514.0,80.0,0,0,8.0,2004,48 578,5 500 000
"Nås Åby 360, Hedemora, Hedemora",60.2373701592949,15.982128571840551,145.0,3650.0,53.0,0,0,6.0,1930,46 946,2 010 000
"Tallbacksvägen 15, Gagnef Kyrkbyn, Gagnefs",60.59151719246793,15.076339522946212,270.0,2418.0,None,0,0,6.0,1897,58 846,3 300 000
"Ryrsjön 106, Göta och Ryrsjön, Lilla Edets",58.11206857914998,12.165817149876453,110.0,677.0,17.0,0,0,4.0,2013,42 940,2 750 000
"Ekskogens Gård 12, Ekskogen - Kårsta, Vallentuna",59.6333275,18.229681,136.0,2344.0,None,0,0,7.0,1914,30 967,5 800 000
"Norra Källtorpsvägen 7, Sörby, Örebro",59.2634277,15.2322073,90.0,506.0,60.0,0,0,6.0,1934,37 781,6 300 000
"Lyegatan 18, Visby Öster, Gotlands",57.63718,18.3242569,96.0,731.0,121.0,0,0,6.0,1969,50 579,3 150 000
"Höglandsvägen 29A, Näsby Park, Täby",59.43006,18.10007,191.0,1060.0,12.0,0,0,None,1977,54 728,10 700 000
"Ryggåsvägen 4, Björklinge, Uppsala",60.0406456,17.5566,97.0,790.0,93.0,0,0,4.0,1965,62 100,3 975 000
"Minkvägen 3, Holmsund, Umeå",63.7124176,20.386837,139.0,527.0,41.0,0,0,5.0,1978,41 854,3 350 000
"Anna Anders väg 14, Hemmestorp Fure, Sjöbo",55.6125641,13.550745,65.0,2025.0,12.0,0,0,3.0,1964,28 670,2 200 000
"Lagmansgatan 3, Tidaholm, Tidaholms",58.18286768761929,13.980430393600754,96.0,905.0,96.0,0,0,5.0,1963,36 900,1 975 000
"Stråvägen 2, Lucksta, Sundsvalls",62.2984734,17.0486755,160.0,964.0,60.0,0,0,7.0,1972,32 141,1 675 000
"Stora Merum, Vikbolandet, Norrköpings",58.44753825971961,16.639113426929818,153.0,7790.0,30.0,1,1,5.0,1890,35 100,3 400 000
"Prästkragegatan 7, Gustavslund, Helsingborgs",56.03353,12.7576771,230.0,672.0,55.0,0,0,8.0,2014,52 745,8 900 000
"Sandvägen 22, Luffarskogen, Ängelholms",56.2352181914822,12.8635465325915,136.0,581.0,None,0,0,6.0,1909,39 360,3 500 000
"Ekoxevägen 4, Korpadalen, Karlshamns",56.2034218039507,14.8559070149866,130.0,820.0,None,0,0,6.0,1980,44 872,2 200 000
"Solbackavägen 19, None, Timrå",62.50345,17.3678513,92.0,1130.0,73.0,0,0,5.0,1964,43 163,2 000 000
"Änghagsdalen 10, Torslanda - Centralt, Göteborgs",57.73102,11.7870321,130.0,715.4,None,0,0,5.0,1992,48 300,6 510 000
"Häggvägen 20, Torslanda Lilleby, Göteborgs",57.74116,11.7935638,212.0,1102.0,34.0,0,0,7.0,1979,43 344,9 200 000
"Tunadalsvägen 28A, Tunadal, Sundsvalls",62.41669598337721,17.378743522494876,131.0,1210.0,105.0,1,1,5.0,1922,36 400,2 150 000
"Plommonvägen 11, Pomona, Ängelholms",56.2679863,12.8588018,164.0,396.0,None,0,0,5.0,1976,24 808,2 700 000
"Myrbäcksvägen 26, Askim, Göteborgs",57.6269569,11.942565,167.0,1175.0,45.0,0,0,5.0,1931,45 013,8 800 000
"Svampvägen 3, Märsta - Norrbacka, Sigtuna",59.6392975,17.8493843,113.0,488.0,27.0,0,0,5.0,1969,32 958,3 600 000
"Bosgårdsvägen 20, Torup, Hylte",56.9609819438087,13.0696164994998,120.0,1792.0,85.0,0,0,7.0,1956,47 730,1 050 000
"Trängkårsvägen 36, Centralt Väster, Örebro",59.2849121,15.2060223,171.0,926.0,134.0,0,0,5.0,1930,None,6 075 000
"Sjömärkesvägen 1, None, Götene",58.5062828,13.3077583,108.0,None,None,1,0,4.0,1987,18 120,1 360 000
"Nyhagenvägen 4, Kållered, Mölndals",57.61641,12.0384979,103.0,1813.0,99.0,0,0,7.0,1962,39 500,6 000 000
"Skyttegatan 33, Öster, Växjö",56.8759346,14.83505,144.0,866.0,None,0,0,6.0,1981,36 211,4 030 000
"Stinsvägen 10, Västra Tommarp, Trelleborgs",55.39627,13.1021194,111.0,1195.0,50.0,0,0,5.0,1959,31 191,3 900 000
"Hagvägen 4, Harbo, Heby",60.1046371,17.1987534,120.0,1104.0,None,0,0,5.0,1974,43 869,3 150 000
"Guldhornsvägen 6, Vä, Kristianstads",56.0030880636275,14.0843199538835,139.0,876.0,9.0,0,0,6.0,1969,31 452,2 000 000
"Bottna Lillängsvägen 2, None, Söderköpings",58.39297559388462,16.671721710464208,140.0,2897.0,136.0,0,0,5.0,1944,29 100,1 100 000
"Tärnegatan 9, None, Tanums",58.6923752,11.2525425,139.0,1326.0,60.0,0,0,5.0,1950,37 239,6 000 000
"Krokforsvägen 23, Tunbyn, Sundsvalls",62.3083742236465,17.2002111758529,127.0,1893.0,None,1,0,5.0,1991,49 747,2 900 000
"Klockarvägen 11, Diseröd, Kungälvs",57.9218979,12.026823,170.0,574.0,None,0,0,6.0,1971,48 446,4 300 000
"Björbovägen 12, Elsborg, Falu",60.59918,15.627368,160.0,985.0,77.0,0,0,5.0,1925,59 178,2 995 000
"Slädvägen 3, Gråbo - Centralt, Lerums",57.8328857,12.3085518,116.0,588.0,12.0,0,0,5.0,1968,32 450,2 700 000
"Källgatan 6, Östervåla, Heby",60.1840973,17.1766968,117.0,1164.0,105.0,0,0,4.0,1954,None,1 700 000
"Ekorrstigen 14, Djuptjärn, Kalix",65.87715,23.1218834,109.0,855.0,36.0,0,0,5.0,1978,None,350 000
"Norra Vånga Vasen 1, None, Vara",58.27292,13.3115931,81.0,4945.0,5.0,0,0,3.0,1922,21 700,1 230 000
"Malungsvägen 289, Viby, Sollentuna",59.4642,17.90235,136.0,275.0,None,0,0,6.0,1974,44 611,5 800 000
"Byabacksvägen 13, Sövestad, Ystads",55.4981106482,13.7980985755,119.0,1056.0,70.0,0,0,4.0,1942,39 348,3 100 000
"Brattfors 45, Nordmaling, Nordmalings",63.6366426392,19.6199147982,115.0,12754.0,5.0,0,0,None,1936,54 591,1 540 000
"Tunavägen 30, Ärla, Eskilstuna",59.2788212976,16.6888374906,142.0,1997.0,71.0,1,1,6.0,1939,45 334,1 925 000
"Låssby äng 40, Torslanda - Låssby, Göteborgs",57.7442816559,11.8306686552,174.0,789.4,False,1,0,7.0,2005,39 598,7 500 000
"Strandskategatan 3, Strandnorum, Stenungsunds",58.042057139,11.823977516,93.0,1133.0,93.0,1,0,5.0,1964,35 600,4 595 000
"Industrivägen 69, Brännan, Skellefteå",64.7578651811,20.9129155106,145.0,880.0,55.0,1,1,6.0,1969,35 411,3 000 000
"Lundavägen 26, Bergsviken, Piteå",65.3148245438,21.3802830552,122.0,1524.0,38.0,0,0,5.0,2017,29 799,3 195 000
"Älgvägen 11, Bålsta Åsen, Håbo",59.5766525,17.528616,185.0,1280.0,35.0,0,0,8.0,1976,49 855,6 415 000
"Trollgil Lövkas 125, Herrestad, Uddevalla",58.3827285752,11.860048154,104.0,8996.0,False,0,0,3.0,2005,16 270,2 400 000
"Durkgatan 2, Trosa, Trosa",58.8981508913,17.5371462792,117.0,1297.0,116.0,0,0,4.0,1969,26 044,4 600 000
"Ekelidsvägen 1, Ljungskile, Uddevalla",58.228354335,11.9228826337,104.0,1470.0,104.0,1,0,6.0,1970,1 941,3 600 000
"Fogdarp Strandvägen 521, Höör, Höörs",55.8481445,13.5465374,114.0,98560.0,63.0,0,0,4.0,1926,31 000,5 100 000
"Strålstensvägen 12, Lundby, Örebro",59.31428,15.1853065,110.0,247.0,None,0,0,4.0,1974,45 100,2 700 000
"Södra Stallåsliden 6, Åsa, Kungsbacka",57.349989329147,12.116078452168,105.0,1484.0,70.0,0,0,4.0,1933,28 320,5 050 000
"Violvägen 25, Tollarp, Kristianstads",55.9387,13.9657717,111.0,44565.0,None,0,0,5.0,1909,49 763,5 100 000
"Lyckåsvägen 25, None, Mullsjö",57.98212,13.771884,70.0,1070.0,10.0,0,0,4.0,1939,22 661,665 000
"Polkavägen 3, Linderöd, Kristianstads",55.9299774,13.826396,74.0,1188.0,None,0,0,4.0,1946,None,800 000
"Kurrasbacken 10, Stensätra, Sandvikens",60.6048617179,16.7335333683,129.0,1015.0,202.0,0,0,7.0,1979,44 385,2 600 000
"Östebyn 215, Brålanda, Vänersborgs",58.5664417788,12.3662605586,117.0,2109.0,72.0,0,0,4.0,1956,33 200,950 000
"Bosgården Gransäter 1, Mjöbäck, Svenljunga",57.31619139999999,12.8723264,90.0,3156.0,65.0,1,0,5.0,1949,42 776,650 000
"Yttervägen 66, Boliden, Skellefteå",64.8671457097,20.3761389688,105.0,1110.0,63.0,0,0,4.0,1952,52 172,700 000
"Vasagatan 3, Hovmantorp, Lessebo",56.7875938,15.14028,244.0,1158.0,68.0,0,0,6.0,1922,53 698,2 950 000
"Västra Tullgatan 23, Söderhamn, Söderhamns",61.3022363258,17.0413823331,123.0,416.0,14.0,1,0,5.0,1920,18 120,2 175 000
"Hackelvägen 3, Rimforsa, Kinda",58.1390004846,15.683395236,268.0,1146.0,44.0,0,0,10.0,1909,63 779,4 200 000
"Yxenhult 7368, Skånes Fagerhult, Örkelljunga",56.3990553303,13.5238118971,90.0,2369.0,90.0,0,0,4.0,1962,41 153,885 000
"Stångholmsgatan 46, Bredviken, Luleå",65.58846,22.2069645,108.0,961.0,56.0,0,0,4.0,1964,32 624,3 660 000
"Karlslundsvägen 42, Norrviken, Sollentuna",59.463783877,17.9152814415,116.0,206.0,10.0,1,0,6.0,1969,51 800,5 510 000
"Movägen 1, Näsåker, Sollefteå",63.4392988371,16.9178398949,126.0,1149.0,157.0,0,0,5.0,1977,48 476,695 000
"Gärdesvägen 17, Virsbo, Surahammars",59.8726171407,16.0478243267,145.0,380.0,False,0,0,6.0,1964,31 492,800 000
"Annelundsvägen 4, None, Norrköpings",58.5776550741,16.3025540776,107.0,768.0,8.0,0,0,5.0,1920,29 672,2 750 000
"Sticklingvägen 1, Limhamn, Malmö",55.5702477,12.9598885,176.0,635.0,9.0,0,0,6.0,1978,58 937,6 700 000
"Lundsvedja 156, Östhammar, Östhammars",60.2873812893,18.1290115772,160.0,2583.0,45.0,0,0,7.0,1949,41 194,1 200 000
"Munkgatan 3, Skurup, Skurups",55.4811262383,13.4958343564,200.0,778.0,30.0,0,0,8.0,1889,49 393,3 450 000
"Fisketorp 26, Hedekas, Munkedals",58.6021001866,11.7532232226,140.0,1235.0,97.0,1,1,6.0,1951,60 780,795 000
"Åträsk 231, Lillpite, Piteå",65.4458263095,20.9415401874,130.0,60363.0,6.0,0,0,5.0,None,32 333,2 300 000
"Plantgatan 22 , Kisa, Kinda",57.9855040786,15.6154103549,95.0,783.0,95.0,1,0,4.0,1970,27 860,1 400 000
"Kronoparksvägen 32, Ivetofta, Bromölla",56.093655741,14.4666116248,131.0,1468.0,6.0,0,0,5.0,1972,46 768,860 000
"Bofinksvägen 7, None, Timrå",62.4827728,17.3065319,90.0,1060.0,40.0,0,0,5.0,1940,52 347,1 575 000
"Tomta Tomtebo 1, Gnesta, Gnesta",59.052536,17.2041073,126.0,6176.0,16.0,0,0,6.0,1895,50 200,3 700 000
"Svineberg 83, Sunne, Sunne",59.8710937192,13.1653081821,160.0,2993.0,60.0,0,0,6.0,1991,28 128,2 325 000
"Uddbyvägen 14B, Hanviken, Tyresö",59.23099722318186,18.213284487886092,177.0,1460.0,61.0,0,0,6.0,1960,40 000,6 100 000
"Skogshemsvägen 8, Tullinge Skog, Botkyrka",59.199257476961805,17.9048043154529,147.0,1262.0,48.0,0,0,7.0,1976,35 750,6 500 000
"Rönnbärsvägen 14, Hallsberg, Hallsbergs",59.0733566105,15.0783674935,171.0,1462.0,44.0,0,0,5.0,2022,None,4 380 000
"Lyckåsvägen 16, Tenhult, Jönköpings",57.70191584629483,14.326215330518078,98.0,846.0,90.0,1,0,5.0,1963,40 290,2 500 000
"Berggrensvägen 33, Ostra, Eskilstuna",59.441717359575655,16.59892402460615,132.0,1202.0,48.0,1,0,4.0,2008,55 119,5 100 000
"Hedemoravägen 39, Vikmanshyttan, Hedemora",60.299870277803656,15.836934196182938,76.0,1225.0,69.0,0,0,3.0,1949,46 315,850 000
